image_id,n_cands,max_frag,max_digits
001281,1,1,13
001284,1,1,10
001290,1,1,6
001294,1,1,15
001297,1,2,52
001301,2,1,6
001304,1,1,11
001307,1,2,15
001310,1,0,16
001313,0,1,149
001316,1,1,22
001320,1,2,56
001324,3,1,29
001328,1,1,13
001333,1,1,12
001336,1,2,26
001340,2,1,9
001343,1,1,32
001347,1,1,8
001350,1,2,16
001353,1,1,13
001357,2,3,12
001361,1,1,50
001364,1,0,11
001368,0,2,13
001371,1,1,17
001374,1,3,58
001377,0,1,13
001380,1,1,29
001383,0,1,34
001387,1,1,66
001390,1,1,10
001393,1,0,14
001396,1,1,16
001399,1,1,56
001402,1,1,35
001405,1,1,57
001408,1,2,107
001412,1,1,80
001415,1,2,15
001419,1,1,8
001423,1,1,12
001427,1,1,48
001431,1,0,11
001435,1,2,18
001439,1,1,10
001442,1,3,32
001445,1,1,8
001449,1,1,13
001452,1,1,16
001455,1,2,88
001458,1,1,8
001461,1,1,16
001465,1,2,13
001468,1,1,23
001471,1,4,89
001474,1,1,12
001477,0,2,49
001481,0,2,27
001485,1,2,47
001488,1,1,8
001492,1,1,7
001495,1,2,17
001499,1,1,66
001503,1,1,12
001506,1,2,64
001509,1,1,13
001514,1,1,19
001520,1,2,33
001523,1,1,13
001526,1,1,12
001529,1,1,8
001532,1,1,29
001536,2,3,23
001540,2,2,11
001543,1,1,7
001546,1,1,26
001549,0,0,6
001552,1,1,7
001557,2,4,38
001561,1,1,6
001564,0,2,29
001567,1,1,15
001572,1,2,13
001576,1,1,22
001579,1,1,8
001583,1,1,8
001589,1,2,12
001593,1,1,7
001596,2,2,10
001599,1,1,11
001602,1,1,8
001606,1,1,11
001609,1,1,13
001612,1,1,8
001615,1,2,21
001618,1,1,8
001621,1,1,9
001627,1,2,18
001631,1,1,8
001635,2,4,22
001638,1,1,7
001641,1,1,18
001644,1,3,18
001647,1,1,8
001650,1,1,12
001653,1,2,14
001656,1,1,13
001661,1,1,8
001664,1,2,27
001668,1,1,30
001671,2,4,43
001674,1,1,10
001677,1,1,8
001682,1,1,8
001685,2,2,12
001689,0,0,11
001692,1,1,8
001696,1,1,8
001700,1,1,10
001703,1,1,8
001707,1,1,8
001710,1,4,30
001713,1,0,6
001716,1,1,13
001719,1,1,6
001722,3,3,39
001725,1,1,8
001729,1,1,8
001732,1,1,8
001736,1,1,8
001741,1,1,20
001745,1,4,22
001749,0,1,18
001752,1,1,6
001756,2,3,31
001759,1,1,85
001763,1,1,23
001766,2,1,9
001769,1,1,13
001773,1,1,14
001778,1,2,12
001781,1,3,50
001785,1,1,11
001788,1,1,8
001791,1,2,52
001794,1,2,15
001797,0,1,9
001800,1,2,30
001803,1,1,14
001806,0,3,34
001809,1,3,17
001812,2,1,9
001816,2,2,31
001819,3,2,31
001822,1,1,14
001826,1,1,8
001829,1,1,10
001832,1,1,18
001835,0,1,11
001838,1,1,19
001841,1,1,12
001845,1,1,12
001848,1,1,8
001851,1,1,9
001854,1,4,60
001857,2,1,11
001861,2,2,13
001864,0,1,17
001867,1,1,6
001870,1,2,21
001874,1,1,18
001877,1,2,13
001880,0,0,5
001883,1,1,11
001886,3,4,45
001889,1,0,10
001893,1,1,16
001896,1,1,14
001900,0,0,19
001903,2,1,11
001906,3,3,26
001909,2,1,20
001912,1,0,16
001915,1,0,20
001919,1,1,12
001923,1,1,18
001927,1,1,13
001931,1,1,12
001934,1,1,35
001937,1,1,19
001940,1,2,19
001944,0,2,20
001948,1,0,22
001951,1,1,9
001954,1,0,54
001957,1,1,79
001960,1,1,12
001965,1,1,8
001968,1,1,12
001971,1,1,8
001974,1,3,21
001982,1,1,8
001985,1,1,15
001988,0,0,19
001991,1,1,28
001994,1,2,12
001997,1,1,35
002000,1,2,16
002003,1,1,8
002007,2,1,18
002011,0,0,7
002015,1,1,15
002019,1,1,7
002024,1,1,11
002027,1,1,21
002030,1,1,11
002037,1,1,6
002040,1,1,8
002044,1,1,9
002047,1,1,15
002050,2,2,44
002053,1,1,16
002056,1,0,8
002060,1,2,11
002063,1,1,8
002066,2,1,14
002069,1,1,31
002072,1,1,13
002075,1,1,8
002078,1,2,12
002082,1,1,11
002085,1,1,9
002090,1,1,9
002093,1,1,31
002096,1,1,8
002099,1,2,13
002103,1,0,7
002111,1,0,8
002114,1,1,8
002117,1,3,67
002120,1,1,10
002123,1,1,22
002126,1,0,3
002129,1,1,8
002132,1,1,6
002135,1,3,47
002138,1,1,14
002141,1,1,8
002145,1,1,14
002148,1,1,9
002152,2,1,6
002155,1,1,16
002158,1,1,28
002161,1,4,101
002164,1,1,14
002167,1,1,7
002170,1,1,12
002174,1,2,15
002178,1,1,10
002181,1,2,53
002185,1,2,18
002188,1,1,9
002191,1,1,8
002194,1,2,11
002197,1,1,18
002201,1,1,7
002205,1,1,6
002209,1,1,10
002213,1,2,18
002216,1,1,8
002219,1,1,35
002222,1,1,20
002225,1,1,8
002228,1,1,10
002231,1,1,8
002234,1,0,8
002237,1,1,10
002241,0,1,20
002245,1,1,6
002248,1,1,24
002251,1,0,27
002254,3,4,59
002257,1,1,9
002263,1,1,8
002267,1,0,9
002270,1,1,14
002273,1,2,15
002276,2,2,16
